letter,weight,relative_weight,weight1,relative_wight1,weight2,relative_weight2,weight3,relative_weight3,weight4,relative_weight4,center_x,center_y,relative_center_x,relative_center_y,inertia_x,inertia_y,relative_inertia_x,relative_inertia_y
α,422.51764705882374,0.6250261051166032,110.57254901960785,0.6542754379858453,109.63921568627454,0.648752755540086,103.2235294117647,0.610790114862513,99.0823529411765,0.5862861120779674,13.046769133671175,12.333203393291377,0.01929995433975026,0.018244383717886652,23449.435286983684,22891.5110993546,0.1313538127036413,0.12822855751741766
β,660.5411764705883,0.6255124777183602,154.65098039215687,0.5857991681521093,149.45098039215688,0.5661021984551396,153.99999999999997,0.5833333333333333,202.4392156862745,0.766815210932858,11.298982414894503,24.676682221351477,0.010699793953498583,0.023368070285370718,135291.20563565727,21161.840178768307,0.31007715861455526,0.048501328987775566
γ,690.5999999999996,0.799305555555555,164.01568627450982,0.7593318809005084,185.38431372549022,0.8582607116920843,152.90196078431373,0.7078794480755265,188.2980392156863,0.8717501815541032,11.313469957922356,18.46765813188873,0.013094293932780506,0.02137460431931566,69201.99037996147,36797.021638873695,0.14509934024464713,0.07715419070250665
δ,544.5490196078434,0.6513744253682338,154.15294117647062,0.7375738812271322,123.08627450980394,0.5889295431091097,137.49411764705883,0.6578665916127217,129.8156862745098,0.6211276855239704,10.406488549618317,17.91707475154832,0.012447952810548226,0.021431907597545836,64947.827904957194,22669.493152222756,0.2190234775843517,0.0764483029754334
ε,310.0470588235294,0.627625625148845,67.27450980392156,0.5469472341782241,61.6078431372549,0.5008767734736171,87.49411764705881,0.7113342898134863,93.6705882352941,0.7615494978479196,9.539740962788697,12.350003794490403,0.01931121652386376,0.02500000768115466,16168.1831176426,8613.241701548688,0.16819225274568078,0.08960070000974477
ζ,734.168627450981,0.7885806954360699,167.55294117647057,0.7222109533468559,183.90588235294115,0.7926977687626774,207.22352941176467,0.8932048681541581,175.48627450980393,0.7564063556457066,8.985919781211772,23.627483134184043,0.009651900946521774,0.02537860701845762,136041.64185795293,21939.987782522698,0.2523946937237865,0.040704716740006856
η,628.3843137254906,0.6793343932167466,126.84705882352947,0.5491214667685258,193.58431372549012,0.8380273321449788,142.5607843137255,0.6171462524403701,165.39215686274497,0.715983363042186,10.628714786754701,19.61953469214542,0.011490502472167244,0.02121030777529235,69704.46248041821,27957.81473538495,0.17652650059908054,0.07080314550910376
θ,499.6862745098038,0.5977108546767989,125.59215686274511,0.6009194108265317,124.65098039215688,0.5964161741251526,123.16078431372547,0.5892860493479688,126.28235294117646,0.6042217844075428,10.489891696750906,18.55785590959033,0.012547717340611131,0.02219839223635207,67115.70386758624,17352.37639413886,0.2688000273265411,0.06949668974830794
ι,239.67843137254908,0.6584572290454646,49.29019607843139,0.5416505063563889,59.898039215686296,0.6582202111613878,71.15294117647059,0.7819004524886878,59.33725490196079,0.6520577461753932,6.66847737164174,12.41920547138323,0.018319992779235548,0.034118696349953924,13072.966810265452,5321.696817663561,0.22757065064688484,0.09263865080650058
κ,434.5490196078432,0.6437763253449529,85.96862745098042,0.5117180205415501,101.44705882352949,0.6038515406162469,128.95686274509802,0.7676003734827264,118.1764705882353,0.7034313725490197,13.792175796408271,11.819646241313961,0.020432853031715957,0.01751058702416883,20950.488745618233,29957.91771143325,0.11094726736669104,0.15864780752548654
λ,744.9254901960785,0.7743508214096451,165.76078431372545,0.6906699346405227,160.92549019607844,0.6705228758169935,231.72156862745098,0.9655065359477124,186.51764705882357,0.7771568627450982,13.272036682179033,16.991982353808247,0.013796295927421032,0.017663183319966993,78992.14427107779,43891.73138999365,0.14235024935750712,0.07909645909417302
μ,608.7725490196079,0.67641394335512,138.40392156862748,0.6151285403050111,128.97647058823526,0.5732287581699345,156.3607843137255,0.6949368191721134,185.03137254901958,0.8223616557734204,13.12220669041529,18.377306956460124,0.014580229656016989,0.02041922995162236,71465.36618410287,28458.198497553392,0.19283483992059097,0.0767886942266145
ν,429.9882352941176,0.7190438717292936,86.30980392156863,0.5792604290038164,110.81568627450982,0.7437294380839585,114.443137254902,0.7680747466771947,118.41960784313726,0.7947624687458876,10.808476292101016,13.096318184720056,0.018074375070403038,0.021900197633311132,24889.465818239987,20146.839224055406,0.134617781583611,0.10896669386437642
ξ,840.3215686274516,0.7795190803594171,199.521568627451,0.7417158685035353,223.9058823529411,0.8323638749179966,219.3607843137255,0.815467599679277,197.53333333333333,0.7343246592317224,10.591902259639165,23.74841563920439,0.00982551230022186,0.02203007016623784,163166.91406709622,35300.55948549376,0.23106867732180514,0.04999085528870484
ο,393.95294117647063,0.6313348416289594,106.28235294117646,0.6812971342383106,90.91764705882355,0.5828054298642535,91.25098039215686,0.5849421820010056,105.50196078431374,0.6762946204122675,11.36402277568735,12.487128949411693,0.018211574961037418,0.020011424598416174,22464.564147967,16105.510004376032,0.1447469104037655,0.10377333823417792
π,377.29411764705907,0.6036705882352945,76.14117647058823,0.4880844645550528,107.90980392156865,0.6917295123177478,81.81568627450982,0.5244595274007039,111.42745098039215,0.7142785319255908,11.912067352666037,13.22819873194054,0.01905930776426566,0.021165117971104864,14356.505477804889,22205.765058053206,0.10085296544182631,0.15599320179074502
ρ,540.9764705882354,0.6645902587079059,134.74117647058824,0.6637496377861489,113.12549019607845,0.5572684246112238,111.75686274509803,0.5505264174635371,181.35294117647064,0.8933642422486239,11.262394073171967,18.98355914142182,0.013835864954756716,0.023321325726562436,64642.3086750302,17066.129889150467,0.22088188828710223,0.05831473338334862
σ,422.34901960784305,0.6033557422969187,92.0078431372549,0.5257591036414565,121.54509803921565,0.6945434173669466,85.10196078431373,0.486296918767507,123.69411764705885,0.7068235294117649,13.922236975273675,13.257411860834367,0.01988890996467668,0.018939159801191954,18118.928513655235,27512.187194776154,0.10157563143001568,0.15423471560275037
τ,346.7215686274508,0.6934431372549016,73.50588235294119,0.5880470588235295,109.23137254901961,0.8738509803921569,71.21176470588236,0.5696941176470589,92.77254901960785,0.7421803921568628,9.147306987581157,13.230133236817705,0.018294613975162313,0.026460266473635412,13558.331290315587,13912.131269779391,0.112783228870104,0.1157262683344521
υ,381.30588235294124,0.666618675442205,77.79607843137254,0.5440285204991087,87.94901960784316,0.6150281091457563,111.78039215686276,0.7816810640340053,103.78039215686275,0.7257370080899492,11.189061326915759,12.512922567441095,0.0195612960260765,0.021875738754267647,21354.219658015732,13335.009747558064,0.1468712176628907,0.09171625798253868
φ,668.4588235294125,0.6691279514808933,141.87450980392148,0.5697771478069136,192.27843137254885,0.7722025356327263,136.12156862745093,0.5466729663753049,198.18431372549023,0.7959209386565873,13.03236593393054,19.860052681908037,0.013045411345275816,0.01987993261452256,80307.39826167427,40488.82524369606,0.17972406613762648,0.09061202907136892
χ,638.4784313725492,0.6902469528351882,154.1803921568628,0.6674475850946442,144.14901960784317,0.624021729904083,154.67450980392158,0.6695866225277991,185.4745098039216,0.8029199558611324,12.281625433014767,18.033732157334832,0.013277432900556505,0.0194959266565782,64781.1950705566,38112.30945351143,0.15891192694713882,0.09349164567073368
ψ,822.9960784313724,0.7144063180827885,180.07058823529417,0.6252450980392159,240.32549019607848,0.8344635076252724,171.25882352941176,0.5946486928104575,231.34117647058824,0.8032679738562092,15.404623946937084,19.20579518164145,0.013372069398382886,0.01667169720628598,91072.4976937257,77309.9566781247,0.13445956930087954,0.11414053354030779
ω,518.4941176470585,0.6194672851219337,128.5450980392157,0.6150483159771086,125.29019607843136,0.5994746223848391,133.65490196078434,0.6394971385683461,131.00392156862745,0.6268130218594614,14.97372481394083,12.364494463605016,0.017889754855365387,0.014772394819121883,33261.138363960585,34078.84203922993,0.12372271496850243,0.1267643582711762
